Job Title,Positive,Negative,Neutral,Total Score,Overall Sentiment
analyst,0,0,1,2,Neutral
associate,4,0,3,3,Positive
associate investigator,3,1,1,2,Neutral
associate software engineer,1,0,0,3,Positive
avp java developer,1,1,0,2,Neutral
business analyst,1,0,0,3,Positive
business manager,0,0,1,2,Neutral
cadp summer analyst,1,0,0,3,Positive
compliance analyst,1,0,0,3,Positive
consultant,0,0,1,2,Neutral
corporate analyst development program,0,0,1,3,Positive
data analyst,0,1,0,1,Negative
digital project manager,0,1,0,1,Negative
director of change management,0,0,1,2,Neutral
financial analyst,0,0,1,2,Neutral
global markets summer analyst,0,1,0,1,Negative
investment analyst,1,0,0,3,Positive
investment banking analyst,0,0,1,2,Neutral
investment banking off cycle analyst,0,1,0,1,Negative
jp morgan chase,1,0,0,3,Positive
jpmorgan,0,0,1,2,Neutral
kyc associate,0,0,1,2,Neutral
manager,0,0,1,2,Neutral
middle office associate,0,0,1,2,Neutral
operations analyst,1,0,0,3,Positive
payment lifecycle analyst,0,0,1,2,Neutral
private bank analyst,0,1,0,1,Negative
product manager,0,0,1,2,Neutral
product owner,0,1,3,2,Neutral
programmer analyst,0,1,0,1,Negative
robotic process automation  rpa  developer,0,0,1,2,Neutral
senior analyst,1,0,0,3,Positive
senior associate,0,0,1,2,Neutral
senior full stack developer,2,3,0,2,Neutral
site reliability engineer,0,0,1,2,Neutral
software engineer,0,0,1,2,Neutral
summer analyst,2,1,3,2,Neutral
svp technology,2,1,1,2,Neutral
systems administrator,0,0,1,2,Neutral
technology summer analyst,1,0,0,3,Positive
trader,0,0,1,2,Neutral
trading services associate,0,0,1,2,Neutral
vice persident,1,0,0,3,Positive
vice president,0,0,1,2,Neutral
vice president,5,0,4,3,Positive
